,Model,Window,Derivative,Preprocessing,variable,Accuracy
92,ET,21,0,snv,split0_test_score,0.475
2108,ET,21,0,snv,split7_test_score,0.5125
1988,ET,21,1,msc,split6_test_score,0.5625
1116,ET,11,1,msc,split3_test_score,0.5
1188,ET,11,1,raw,split4_test_score,0.5625
2036,ET,21,0,raw,split7_test_score,0.5875
2020,ET,9,0,raw,split7_test_score,0.5375
1180,ET,9,1,raw,split4_test_score,0.4875
1204,ET,9,2,raw,split4_test_score,0.5375
2044,ET,9,1,raw,split7_test_score,0.5625
212,ET,21,2,rnv,split0_test_score,0.4875
108,ET,11,1,snv,split0_test_score,0.5875
1172,ET,21,0,raw,split4_test_score,0.6875
2012,ET,21,2,msc,split6_test_score,0.65
2052,ET,11,1,raw,split7_test_score,0.5875
1164,ET,11,0,raw,split4_test_score,0.6125
1212,ET,11,2,raw,split4_test_score,0.625
2060,ET,21,1,raw,split7_test_score,0.4
1156,ET,9,0,raw,split4_test_score,0.575
2068,ET,9,2,raw,split7_test_score,0.6125
1148,ET,21,2,msc,split3_test_score,0.4875
2004,ET,11,2,msc,split6_test_score,0.7125
2076,ET,11,2,raw,split7_test_score,0.5125
100,ET,9,1,snv,split0_test_score,0.5625
1140,ET,11,2,msc,split3_test_score,0.5125
1220,ET,21,2,raw,split4_test_score,0.525
2084,ET,21,2,raw,split7_test_score,0.6
1132,ET,9,2,msc,split3_test_score,0.5625
1996,ET,9,2,msc,split6_test_score,0.725
2092,ET,9,0,snv,split7_test_score,0.5625
1228,ET,9,0,snv,split4_test_score,0.5
1124,ET,21,1,msc,split3_test_score,0.5125
2100,ET,11,0,snv,split7_test_score,0.5
1268,ET,21,1,snv,split4_test_score,0.5625
116,ET,21,1,snv,split0_test_score,0.525
2180,ET,21,0,rnv,split7_test_score,0.55
1036,ET,9,1,rnv,split3_test_score,0.5125
1916,ET,21,1,rnv,split6_test_score,0.6125
948,ET,11,0,snv,split3_test_score,0.4375
2268,ET,11,1,msc,split7_test_score,0.525
76,ET,9,0,snv,split0_test_score,0.525
1316,ET,21,0,rnv,split4_test_score,0.4375
940,ET,9,0,snv,split3_test_score,0.575
2276,ET,21,1,msc,split7_test_score,0.5625
1908,ET,11,1,rnv,split6_test_score,0.5875
932,ET,21,2,raw,split3_test_score,0.4625
2284,ET,9,2,msc,split7_test_score,0.5
1324,ET,9,1,rnv,split4_test_score,0.525
1900,ET,9,1,rnv,split6_test_score,0.6125
924,ET,11,2,raw,split3_test_score,0.5375
2292,ET,11,2,msc,split7_test_score,0.575
244,ET,9,1,msc,split0_test_score,0.5875
916,ET,9,2,raw,split3_test_score,0.4875
2300,ET,21,2,msc,split7_test_score,0.525
1332,ET,11,1,rnv,split4_test_score,0.65
908,ET,21,1,raw,split3_test_score,0.525
1892,ET,21,0,rnv,split6_test_score,0.5875
